USER ID,Income,Age,Age Interval,Customer_Days,Estado_Civil,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Kidhome,Teenhome,Recency,MntWines,Wines Inverval,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,AcceptedCmpOverall,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Z_CostContact,Z_Revenue,MntRegularProds,MntTotal,,,,,,
1420,"R$ 82.657,00",74,70-80,2434,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,71,"R$ 966,00",751-R$1000,168,672,246,105,126,1,7,5,10,4,0,0,2,0,1,0,1,0,3,11,"R$ 2.031,00","R$ 2.157,00",,,,,,
1240,"R$ 76.653,00",51,50-60,2476,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,91,"R$ 736,00",501-R$750,63,946,219,189,126,1,4,7,11,2,0,0,2,0,0,1,1,0,3,11,"R$ 2.027,00","R$ 2.153,00",,,,,,
1269,"R$ 83.151,00",48,40-50,2663,Casado,0,1,0,0,0,0,0,0,1,0,0,0,80,"R$ 968,00",751-R$1000,147,842,137,42,210,1,5,7,10,2,0,1,3,1,0,1,1,0,3,11,"R$ 1.926,00","R$ 2.136,00",,,,,,
924,"R$ 94.384,00",67,60-70,2641,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,62,"R$ 1.111,00",1001-R$1250,24,790,160,45,172,0,5,8,5,2,0,1,3,0,1,1,1,0,3,11,"R$ 1.958,00","R$ 2.130,00",,,,,,
1281,"R$ 94.384,00",67,60-70,2641,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,62,"R$ 1.111,00",1001-R$1250,24,790,160,45,172,0,5,8,5,2,0,1,3,0,1,1,1,0,3,11,"R$ 1.958,00","R$ 2.130,00",,,,,,
627,"R$ 77.632,00",73,70-80,2635,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,73,"R$ 1.200,00",1001-R$1250,105,758,0,42,147,1,4,2,6,2,0,1,2,0,1,1,0,0,3,11,"R$ 1.958,00","R$ 2.105,00",,,,,,
408,"R$ 93.027,00",79,70-80,2601,Casado,0,1,0,0,0,0,0,0,0,1,0,0,77,"R$ 1.285,00",1251-R$1500,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,1,0,0,3,11,"R$ 2.077,00","R$ 2.098,00",,,,,,
344,"R$ 78.618,00",63,60-70,2798,Casado,0,1,0,0,0,0,0,1,0,0,0,0,87,"R$ 736,00",501-R$750,163,818,212,163,61,1,4,7,10,2,0,0,1,0,1,0,0,0,3,11,"R$ 2.031,00","R$ 2.092,00",,,,,,
1928,"R$ 72.335,00",44,40-50,2844,Juntos,0,0,0,1,0,0,0,0,0,1,0,0,2,"R$ 1.285,00",1251-R$1500,105,653,28,21,0,1,10,4,8,8,0,1,0,0,0,0,0,0,3,11,"R$ 2.092,00","R$ 2.092,00",,,,,,
668,"R$ 86.857,00",48,40-50,2814,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,96,"R$ 899,00",751-R$1000,102,838,133,102,40,1,5,6,10,2,0,1,0,0,0,0,0,0,3,11,"R$ 2.034,00","R$ 2.074,00",,,,,,
865,"R$ 86.857,00",48,40-50,2814,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,96,"R$ 899,00",751-R$1000,102,838,133,102,40,1,5,6,10,2,0,1,0,0,0,0,0,0,3,11,"R$ 2.034,00","R$ 2.074,00",,,,,,
1844,"R$ 82.326,00",43,40-50,2270,Juntos,0,0,0,1,0,1,0,0,0,0,0,0,30,"R$ 938,00",751-R$1000,142,754,159,81,183,1,5,10,6,2,0,1,3,0,1,1,1,0,3,11,"R$ 1.891,00","R$ 2.074,00",,,,,,
227,"R$ 73.455,00",52,50-60,2403,Viúvo,0,0,0,0,1,0,0,1,0,0,0,0,98,"R$ 901,00",751-R$1000,61,757,186,163,20,1,6,5,10,3,0,0,1,0,1,0,0,0,3,11,"R$ 2.048,00","R$ 2.068,00",,,,,,
1957,"R$ 94.642,00",69,60-70,2296,Casado,0,1,0,0,0,0,0,1,0,0,0,0,35,"R$ 879,00",751-R$1000,143,797,106,143,143,0,5,7,9,1,0,0,2,0,0,1,1,0,3,11,"R$ 1.925,00","R$ 2.068,00",,,,,,
575,"R$ 92.163,00",45,40-50,2723,Casado,0,1,0,0,0,0,0,0,1,0,0,0,25,"R$ 817,00",751-R$1000,183,797,106,163,20,0,5,11,5,2,0,1,2,0,0,1,1,0,3,11,"R$ 2.046,00","R$ 2.066,00",,,,,,
499,"R$ 81.169,00",45,40-50,2600,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,47,"R$ 1.288,00",1251-R$1500,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,0,3,11,"R$ 2.035,00","R$ 2.062,00",,,,,,
130,"R$ 92.859,00",28,20-30,2777,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,46,"R$ 962,00",751-R$1000,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,3,11,"R$ 2.037,00","R$ 2.057,00",,,,,,
1685,"R$ 83.512,00",34,30-40,2171,Casado,0,1,0,0,0,0,0,1,0,0,0,0,31,"R$ 1.060,00",1001-R$1250,61,835,80,20,101,1,4,7,10,1,0,1,4,1,0,1,1,1,3,11,"R$ 1.955,00","R$ 2.056,00",,,,,,
1647,"R$ 80.141,00",34,30-40,2693,Casado,0,1,0,0,0,0,0,0,1,0,0,0,20,"R$ 1.184,00",1001-R$1250,102,673,52,40,40,1,7,4,10,6,0,1,1,0,0,1,0,0,3,11,"R$ 2.011,00","R$ 2.051,00",,,,,,
991,"R$ 77.568,00",41,40-50,2832,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,30,"R$ 1.230,00",1001-R$1250,0,396,232,178,158,1,10,2,8,5,0,0,3,0,1,1,1,0,3,11,"R$ 1.878,00","R$ 2.036,00",,,,,,
1696,"R$ 92.491,00",37,30-40,2583,Casado,0,1,0,0,0,0,0,0,0,1,0,0,71,"R$ 979,00",751-R$1000,44,935,29,25,22,1,7,5,12,3,0,1,3,0,1,1,1,0,3,11,"R$ 1.990,00","R$ 2.012,00",,,,,,
1056,"R$ 88.347,00",59,50-60,2520,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,32,"R$ 1.050,00",1001-R$1250,178,555,77,138,118,1,4,7,9,1,0,0,1,0,0,0,1,0,3,11,"R$ 1.880,00","R$ 1.998,00",,,,,,
440,"R$ 89.572,00",54,50-60,2811,Solteiro,0,0,1,0,0,1,0,0,0,0,0,0,44,"R$ 606,00",501-R$750,24,974,197,194,64,1,7,7,9,4,0,1,2,0,1,0,1,0,3,11,"R$ 1.931,00","R$ 1.995,00",,,,,,
1194,"R$ 74.918,00",51,50-60,2633,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,78,"R$ 972,00",751-R$1000,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,1,0,0,3,11,"R$ 1.929,00","R$ 1.988,00",,,,,,
2078,"R$ 82.332,00",59,50-60,2809,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,89,"R$ 830,00",751-R$1000,59,968,51,79,19,1,5,3,12,2,0,1,1,0,0,1,0,0,3,11,"R$ 1.968,00","R$ 1.987,00",,,,,,
1115,"R$ 72.903,00",35,30-40,2402,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,74,"R$ 1.067,00",1001-R$1250,138,750,0,19,39,1,7,5,8,4,0,1,3,0,1,1,1,0,3,11,"R$ 1.935,00","R$ 1.974,00",,,,,,
633,"R$ 98.777,00",60,50-60,2291,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,23,"R$ 1.000,00",751-R$1000,19,711,125,115,38,0,4,6,9,1,0,0,1,0,1,0,0,0,3,11,"R$ 1.932,00","R$ 1.970,00",,,,,,
1094,"R$ 98.777,00",60,50-60,2291,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,23,"R$ 1.000,00",751-R$1000,19,711,125,115,38,0,4,6,9,1,0,0,1,0,1,0,0,0,3,11,"R$ 1.932,00","R$ 1.970,00",,,,,,
895,"R$ 95.529,00",26,20-30,2732,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,29,"R$ 770,00",751-R$1000,29,890,250,27,24,1,7,3,7,3,0,1,1,0,0,1,0,0,3,11,"R$ 1.942,00","R$ 1.966,00",,,,,,
663,"R$ 68.743,00",53,50-60,2827,Divorciado,1,0,0,0,0,0,0,1,0,0,0,0,81,"R$ 1.132,00",1001-R$1250,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,0,3,11,"R$ 1.844,00","R$ 1.959,00",,,,,,
474,"R$ 78.952,00",62,60-70,2802,Juntos,0,0,0,1,0,0,0,0,0,1,0,1,11,"R$ 1.170,00",1001-R$1250,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,0,3,11,"R$ 1.824,00","R$ 1.958,00",,,,,,
235,"R$ 67.546,00",32,30-40,2826,Casado,0,1,0,0,0,0,0,0,0,1,0,0,90,"R$ 864,00",751-R$1000,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,0,3,11,"R$ 1.782,00","R$ 1.954,00",,,,,,
1065,"R$ 75.345,00",50,40-50,2671,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,16,"R$ 918,00",751-R$1000,57,842,99,38,133,1,5,8,6,3,0,1,1,0,0,0,1,0,3,11,"R$ 1.821,00","R$ 1.954,00",,,,,,
1865,"R$ 67.546,00",32,30-40,2826,Casado,0,1,0,0,0,0,0,0,0,1,0,0,90,"R$ 864,00",751-R$1000,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,0,3,11,"R$ 1.782,00","R$ 1.954,00",,,,,,
1012,"R$ 91.700,00",49,40-50,2687,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,58,"R$ 576,00",501-R$750,172,961,125,115,19,1,8,6,5,3,0,1,0,0,0,0,0,0,3,11,"R$ 1.930,00","R$ 1.949,00",,,,,,
2100,"R$ 72.309,00",44,40-50,2634,Solteiro,0,0,1,0,0,0,0,0,1,0,0,0,64,"R$ 960,00",751-R$1000,0,883,50,38,0,1,5,6,8,3,0,1,1,0,0,0,1,0,3,11,"R$ 1.931,00","R$ 1.931,00",,,,,,
543,"R$ 87.771,00",61,60-70,2562,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,61,"R$ 1.492,00",1251-R$1500,38,287,50,57,33,1,5,10,4,6,0,1,4,0,1,1,1,1,3,11,"R$ 1.891,00","R$ 1.924,00",,,,,,
805,"R$ 87.771,00",61,60-70,2562,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,61,"R$ 1.492,00",1251-R$1500,38,287,50,57,33,1,5,10,4,6,0,1,4,0,1,1,1,1,3,11,"R$ 1.891,00","R$ 1.924,00",,,,,,
1071,"R$ 85.844,00",47,40-50,2190,Casado,0,1,0,0,0,0,0,0,0,1,0,0,62,"R$ 938,00",751-R$1000,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,1,0,0,3,11,"R$ 1.882,00","R$ 1.920,00",,,,,,
1987,"R$ 96.876,00",43,40-50,2486,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,79,"R$ 908,00",751-R$1000,43,735,40,194,21,1,7,7,9,2,0,1,3,0,1,1,1,0,3,11,"R$ 1.899,00","R$ 1.920,00",,,,,,
527,"R$ 84.169,00",38,30-40,2485,Casado,0,1,0,0,0,0,0,0,0,1,0,0,9,"R$ 1.478,00",1251-R$1500,19,403,0,19,0,1,7,6,6,3,0,1,2,0,1,1,0,0,3,11,"R$ 1.919,00","R$ 1.919,00",,,,,,
898,"R$ 84.169,00",38,30-40,2485,Casado,0,1,0,0,0,0,0,0,0,1,0,0,9,"R$ 1.478,00",1251-R$1500,19,403,0,19,0,1,7,6,6,3,0,1,2,0,1,1,0,0,3,11,"R$ 1.919,00","R$ 1.919,00",,,,,,
1866,"R$ 88.420,00",31,30-40,2217,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,87,"R$ 957,00",751-R$1000,153,612,99,95,153,1,4,7,8,1,0,0,3,1,0,1,1,0,3,11,"R$ 1.763,00","R$ 1.916,00",,,,,,
2143,"R$ 79.174,00",45,40-50,2693,Casado,0,1,0,0,0,0,0,0,0,1,0,0,2,"R$ 1.074,00",1001-R$1250,37,518,193,92,129,1,5,6,7,2,0,1,2,0,0,1,1,0,3,11,"R$ 1.785,00","R$ 1.914,00",,,,,,
1965,"R$ 72.968,00",57,50-60,2354,Divorciado,1,0,0,0,0,0,0,0,0,1,0,0,8,"R$ 1.092,00",1001-R$1250,37,592,145,37,55,1,5,5,8,3,0,1,1,0,0,0,1,0,3,11,"R$ 1.848,00","R$ 1.903,00",,,,,,
503,"R$ 80.184,00",76,70-80,2279,Casado,0,1,0,0,0,0,0,0,1,0,0,0,19,"R$ 1.035,00",1001-R$1250,134,670,25,38,0,1,6,3,10,3,0,0,2,0,0,1,1,0,3,11,"R$ 1.902,00","R$ 1.902,00",,,,,,
1338,"R$ 80.695,00",57,50-60,2341,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,85,"R$ 557,00",501-R$750,129,984,193,37,18,1,5,8,5,2,0,0,0,0,0,0,0,0,3,11,"R$ 1.882,00","R$ 1.900,00",,,,,,
957,"R$ 82.576,00",61,60-70,2856,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,66,"R$ 1.206,00",1001-R$1250,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,1,0,0,3,11,"R$ 1.874,00","R$ 1.892,00",,,,,,
866,"R$ 82.072,00",50,40-50,2521,Juntos,0,0,0,1,0,0,0,0,0,1,0,0,67,"R$ 889,00",751-R$1000,55,685,168,92,129,1,3,2,13,1,0,0,0,0,0,0,0,0,3,11,"R$ 1.760,00","R$ 1.889,00",,,,,,
1261,"R$ 78.687,00",37,30-40,2848,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,13,"R$ 817,00",751-R$1000,185,687,145,55,241,1,4,6,8,2,0,1,1,0,0,1,0,0,3,11,"R$ 1.648,00","R$ 1.889,00",,,,,,
908,"R$ 74.116,00",38,30-40,2340,Solteiro,0,0,1,0,0,1,0,0,0,0,0,0,53,"R$ 871,00",751-R$1000,111,704,145,55,166,1,4,4,10,2,0,0,1,0,1,0,0,0,3,11,"R$ 1.720,00","R$ 1.886,00",,,,,,
1776,"R$ 75.702,00",46,40-50,2782,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,87,"R$ 1.073,00",1001-R$1250,0,629,145,37,37,1,10,5,13,6,0,0,1,0,0,1,0,0,3,11,"R$ 1.847,00","R$ 1.884,00",,,,,,
982,"R$ 95.169,00",33,30-40,2422,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,1,"R$ 1.285,00",1251-R$1500,21,449,106,20,20,1,4,3,4,1,0,1,2,0,0,1,1,0,3,11,"R$ 1.861,00","R$ 1.881,00",,,,,,
1697,"R$ 90.273,00",29,20-30,2356,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,32,"R$ 704,00",501-R$750,129,853,120,74,111,1,5,6,7,2,0,1,3,0,1,1,1,0,3,11,"R$ 1.769,00","R$ 1.880,00",,,,,,
826,"R$ 81.205,00",50,40-50,2326,Juntos,0,0,0,1,0,0,0,1,0,0,0,0,43,"R$ 724,00",501-R$750,74,929,97,55,130,1,5,6,7,2,0,1,3,1,0,1,0,1,3,11,"R$ 1.749,00","R$ 1.879,00",,,,,,
71,"R$ 75.251,00",48,40-50,2830,Casado,0,1,0,0,0,0,0,0,1,0,0,0,34,"R$ 721,00",501-R$750,111,925,97,18,18,1,7,6,5,5,0,1,0,0,0,0,0,0,3,11,"R$ 1.854,00","R$ 1.872,00",,,,,,
1114,"R$ 85.606,00",44,40-50,2753,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,89,"R$ 717,00",501-R$750,42,864,219,30,84,2,6,7,9,3,0,0,1,0,0,0,1,0,3,11,"R$ 1.788,00","R$ 1.872,00",,,,,,
967,"R$ 82.170,00",42,40-50,2375,Casado,0,1,0,0,0,0,0,0,0,1,0,0,13,"R$ 1.023,00",1001-R$1250,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,0,3,11,"R$ 1.834,00","R$ 1.871,00",,,,,,
497,"R$ 89.120,00",61,60-70,2263,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,78,"R$ 1.168,00",1001-R$1250,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,1,0,0,3,11,"R$ 1.814,00","R$ 1.869,00",,,,,,
1496,"R$ 87.188,00",37,30-40,2550,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,73,"R$ 910,00",751-R$1000,111,724,49,74,55,1,10,2,6,3,0,1,0,0,0,0,0,0,3,11,"R$ 1.813,00","R$ 1.868,00",,,,,,
2067,"R$ 81.929,00",44,40-50,2797,Casado,0,1,0,0,0,0,0,0,1,0,1,0,60,"R$ 1.486,00",1251-R$1500,55,278,49,0,185,2,4,4,10,6,0,1,2,1,0,1,0,0,3,11,"R$ 1.683,00","R$ 1.868,00",,,,,,
1081,"R$ 83.829,00",45,40-50,2423,Divorciado,1,0,0,0,0,0,0,1,0,0,0,0,78,"R$ 897,00",751-R$1000,161,430,186,161,27,0,4,7,6,1,0,1,3,1,0,1,1,0,3,11,"R$ 1.808,00","R$ 1.835,00",,,,,,
1246,"R$ 83.829,00",45,40-50,2423,Divorciado,1,0,0,0,0,0,0,1,0,0,0,0,78,"R$ 897,00",751-R$1000,161,430,186,161,27,0,4,7,6,1,0,1,3,1,0,1,1,0,3,11,"R$ 1.808,00","R$ 1.835,00",,,,,,
164,"R$ 80.427,00",45,40-50,2814,Casado,0,1,0,0,0,0,0,0,0,1,0,1,56,"R$ 1.149,00",1001-R$1250,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,0,3,11,"R$ 1.783,00","R$ 1.809,00",,,,,,
610,"R$ 70.971,00",60,50-60,2805,Juntos,0,0,0,1,0,0,0,1,0,0,0,1,28,"R$ 1.001,00",1001-R$1250,17,572,93,125,17,7,11,11,5,7,0,1,0,0,0,0,0,0,3,11,"R$ 1.791,00","R$ 1.808,00",,,,,,
2096,"R$ 82.333,00",34,30-40,2615,Casado,0,1,0,0,0,0,0,0,0,1,0,0,60,"R$ 1.311,00",1251-R$1500,0,359,46,89,17,1,4,3,10,2,0,1,1,0,0,1,0,0,3,11,"R$ 1.788,00","R$ 1.805,00",,,,,,
1464,"R$ 76.998,00",65,60-70,2693,Casado,0,1,0,0,0,0,0,1,0,0,0,1,85,"R$ 1.449,00",1251-R$1500,89,161,69,35,107,2,11,8,8,6,0,0,1,0,0,1,0,0,3,11,"R$ 1.696,00","R$ 1.803,00",,,,,,
481,"R$ 78.642,00",49,40-50,2593,Juntos,0,0,0,1,0,0,0,0,0,1,0,1,83,"R$ 1.396,00",1251-R$1500,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,0,3,11,"R$ 1.782,00","R$ 1.799,00",,,,,,
1553,"R$ 81.574,00",73,70-80,2221,Juntos,0,0,0,1,0,0,0,0,0,1,0,0,89,"R$ 1.252,00",1251-R$1500,0,465,46,35,0,1,4,5,8,1,0,0,2,0,1,1,0,0,3,11,"R$ 1.798,00","R$ 1.798,00",,,,,,
1855,"R$ 70.643,00",36,30-40,2781,Casado,0,1,0,0,0,0,0,0,0,1,0,0,66,"R$ 1.218,00",1001-R$1250,107,304,23,143,33,1,5,8,4,6,0,1,0,0,0,0,0,0,3,11,"R$ 1.762,00","R$ 1.795,00",,,,,,
918,"R$ 67.536,00",50,40-50,2562,Casado,0,1,0,0,0,0,0,0,0,1,0,1,45,"R$ 1.253,00",1251-R$1500,0,447,23,71,35,3,11,5,11,8,0,0,1,0,0,0,1,0,3,11,"R$ 1.759,00","R$ 1.794,00",,,,,,
1419,"R$ 78.427,00",72,70-80,2772,Viúvo,0,0,0,0,1,0,0,0,1,0,0,0,36,"R$ 972,00",751-R$1000,19,595,180,26,138,3,3,7,10,3,0,1,1,0,0,0,1,0,3,11,"R$ 1.654,00","R$ 1.792,00",,,,,,
801,"R$ 76.412,00",40,30-40,2579,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,15,"R$ 840,00",751-R$1000,53,804,23,71,17,1,5,4,8,3,0,1,2,0,0,1,1,0,3,11,"R$ 1.774,00","R$ 1.791,00",,,,,,
833,"R$ 82.347,00",63,60-70,2759,Casado,0,1,0,0,0,1,0,0,0,0,0,0,38,"R$ 556,00",501-R$750,54,845,202,133,63,1,7,7,10,3,0,0,2,1,0,0,1,0,3,11,"R$ 1.727,00","R$ 1.790,00",,,,,,
2144,"R$ 81.380,00",53,50-60,2713,Divorciado,1,0,0,0,0,0,0,0,1,0,0,0,51,"R$ 741,00",501-R$750,68,689,224,68,103,1,4,2,10,2,0,0,0,0,0,0,0,0,3,11,"R$ 1.687,00","R$ 1.790,00",,,,,,
2161,"R$ 82.347,00",63,60-70,2759,Casado,0,1,0,0,0,1,0,0,0,0,0,0,38,"R$ 556,00",501-R$750,54,845,202,133,63,1,7,7,10,3,0,1,2,1,0,0,1,0,3,11,"R$ 1.727,00","R$ 1.790,00",,,,,,
1985,"R$ 71.964,00",62,60-70,2564,Divorciado,1,0,0,0,0,0,0,1,0,0,0,0,81,"R$ 587,00",501-R$750,51,932,180,34,86,1,5,6,5,3,0,0,0,0,0,0,0,0,3,11,"R$ 1.698,00","R$ 1.784,00",,,,,,
747,"R$ 74.985,00",43,40-50,2815,Casado,0,1,0,0,0,0,0,1,0,0,0,0,8,"R$ 587,00",501-R$750,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,0,3,11,"R$ 1.697,00","R$ 1.783,00",,,,,,
1362,"R$ 92.344,00",72,70-80,2324,Casado,0,1,0,0,0,0,0,1,0,0,0,0,9,"R$ 992,00",751-R$1000,24,694,51,19,119,0,5,10,5,1,0,0,2,1,0,1,0,0,3,11,"R$ 1.661,00","R$ 1.780,00",,,,,,
512,"R$ 61.839,00",56,50-60,2845,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,20,"R$ 1.000,00",751-R$1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,0,3,11,"R$ 1.655,00","R$ 1.775,00",,,,,,
52,"R$ 82.384,00",65,60-70,2746,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,55,"R$ 984,00",751-R$1000,51,432,180,120,190,1,3,10,13,1,0,1,1,0,0,1,0,0,3,11,"R$ 1.577,00","R$ 1.767,00",,,,,,
1243,"R$ 73.450,00",38,30-40,2365,Juntos,0,0,0,1,0,0,0,0,1,0,0,0,85,"R$ 1.142,00",1001-R$1250,51,415,90,69,37,1,7,8,11,3,0,0,2,1,0,0,1,0,3,11,"R$ 1.730,00","R$ 1.767,00",,,,,,
410,"R$ 92.910,00",34,30-40,2225,Casado,0,1,0,0,0,0,0,1,0,0,0,0,42,"R$ 551,00",501-R$750,137,792,179,103,33,1,6,7,13,1,0,0,3,0,1,1,1,0,3,11,"R$ 1.729,00","R$ 1.762,00",,,,,,
1784,"R$ 63.159,00",46,40-50,2760,Solteiro,0,0,1,0,0,0,0,0,0,1,0,0,74,"R$ 965,00",751-R$1000,34,586,89,86,37,1,3,5,8,3,0,0,1,1,0,0,0,0,3,11,"R$ 1.723,00","R$ 1.760,00",,,,,,
1634,"R$ 72.066,00",39,30-40,2165,Solteiro,0,0,1,0,0,0,0,1,0,0,0,0,55,"R$ 1.003,00",1001-R$1250,34,536,134,51,34,1,4,6,6,2,0,1,2,0,0,1,1,0,3,11,"R$ 1.724,00","R$ 1.758,00",,,,,,
971,"R$ 85.683,00",66,60-70,2259,Divorciado,1,0,0,0,0,0,0,1,0,0,0,0,6,"R$ 1.296,00",1251-R$1500,17,311,45,69,51,1,2,4,10,1,0,1,4,0,1,1,1,1,3,11,"R$ 1.687,00","R$ 1.738,00",,,,,,
