Income,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,AcceptedCmpOverall,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Z_CostContact,Z_Revenue,MntRegularProds,MntTotal,,,
"R$ 7.500,00",44,2752,0,1,0,0,0,0,1,0,0,0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 29,00","R$ 45,00",,,
"R$ 63.033,00",61,2385,1,0,0,0,0,0,0,1,0,0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,3,11,"R$ 1.042,00","R$ 1.072,00",,,
"R$ 59.354,00",68,2385,1,0,0,0,0,0,0,0,1,0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0,3,11,"R$ 282,00","R$ 296,00",,,
"R$ 17.323,00",33,2786,0,1,0,0,0,0,0,1,0,0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 36,00","R$ 41,00",,,
"R$ 82.800,00",74,2741,0,0,1,0,0,0,0,0,0,1,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,2,0,0,1,1,0,3,11,"R$ 1.225,00","R$ 1.270,00",,,
"R$ 41.850,00",40,2711,0,1,0,0,0,0,0,1,0,0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 88,00","R$ 92,00",,,
"R$ 37.760,00",74,2826,0,0,0,1,0,0,0,1,0,0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,3,11,"R$ 261,00","R$ 289,00",,,
"R$ 76.995,00",71,2617,0,1,0,0,0,0,0,0,1,0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,1,0,0,0,1,0,3,11,"R$ 1.430,00","R$ 1.606,00",,,
"R$ 33.812,00",35,2762,0,0,1,0,0,1,0,0,0,0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11,"R$ 55,00","R$ 94,00",,,
"R$ 37.040,00",38,2849,0,1,0,0,0,0,0,1,0,0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,3,11,"R$ 220,00","R$ 268,00",,,
"R$ 2.447,00",41,2698,0,1,0,0,0,0,0,1,0,0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0,3,11,"R$ 1.728,00","R$ 1.729,00",,,
"R$ 58.607,00",71,2712,0,1,0,0,0,0,0,0,0,1,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,1,0,1,0,0,0,3,11,"R$ 934,00","R$ 953,00",,,
"R$ 65.324,00",66,2328,0,1,0,0,0,0,0,0,0,1,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0,3,11,"R$ 534,00","R$ 539,00",,,
"R$ 40.689,00",69,2627,0,0,0,1,0,0,0,1,0,0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0,3,11,"R$ 246,00","R$ 345,00",,,
"R$ 18.589,00",51,2702,0,0,1,0,0,0,0,1,0,0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 49,00","R$ 62,00",,,
"R$ 53.359,00",44,2557,0,1,0,0,0,0,0,1,0,0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0,3,11,"R$ 175,00","R$ 216,00",,,
"R$ 38.360,00",31,2553,0,1,0,0,0,0,0,1,0,0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0,3,11,"R$ 111,00","R$ 121,00",,,
"R$ 84.618,00",55,2378,0,1,0,0,0,0,0,0,0,1,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,1,0,0,3,11,"R$ 1.672,00","R$ 1.672,00",,,
"R$ 10.979,00",31,2197,1,0,0,0,0,0,0,0,1,0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 22,00","R$ 26,00",,,
"R$ 38.620,00",57,2573,0,0,0,1,0,0,0,0,1,0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11,"R$ 140,00","R$ 229,00",,,
"R$ 40.548,00",50,2786,0,0,0,1,0,0,0,1,0,0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,1,0,1,0,0,0,3,11,"R$ 114,00","R$ 117,00",,,
"R$ 46.610,00",68,2767,1,0,0,0,0,0,0,0,0,1,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,1,0,0,0,0,0,0,3,11,"R$ 216,00","R$ 259,00",,,
"R$ 68.657,00",74,2653,0,1,0,0,0,0,0,0,1,0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,3,11,"R$ 1.152,00","R$ 1.174,00",,,
"R$ 49.389,00",69,2463,0,0,1,0,0,0,0,0,1,0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 59,00","R$ 62,00",,,
"R$ 67.353,00",50,2339,0,1,0,0,0,0,0,0,0,1,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0,3,11,"R$ 843,00","R$ 878,00",,,
"R$ 23.718,00",44,2459,0,1,0,0,0,1,0,0,0,0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0,3,11,"R$ 9,00","R$ 45,00",,,
"R$ 42.429,00",47,2297,0,0,0,0,1,0,0,1,0,0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 59,00","R$ 63,00",,,
"R$ 48.948,00",77,2672,1,0,0,0,0,0,0,0,0,1,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,1,1,0,0,0,0,3,11,"R$ 818,00","R$ 860,00",,,
"R$ 80.011,00",40,2585,0,1,0,0,0,0,0,1,0,0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0,3,11,"R$ 1.191,00","R$ 1.293,00",,,
"R$ 20.559,00",35,2633,0,1,0,0,0,0,0,0,1,0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 39,00","R$ 46,00",,,
"R$ 21.994,00",63,2711,0,0,0,1,0,0,0,1,0,0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 16,00","R$ 19,00",,,
"R$ 7.500,00",45,2429,0,1,0,0,0,0,0,0,1,0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 7,00","R$ 19,00",,,
"R$ 79.941,00",44,2160,0,0,1,0,0,0,0,1,0,0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,3,11,"R$ 636,00","R$ 810,00",,,
"R$ 7.500,00",24,2756,0,1,0,0,0,1,0,0,0,0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,0,0,0,0,0,0,3,11,"R$ 22,00","R$ 72,00",,,
"R$ 41.728,00",52,2560,0,0,0,1,0,0,0,1,0,0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0,3,11,"R$ 29,00","R$ 42,00",,,
"R$ 72.550,00",66,2757,0,1,0,0,0,0,0,0,0,1,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0,3,11,"R$ 1.243,00","R$ 1.281,00",,,
"R$ 65.486,00",63,2207,0,0,0,0,1,0,0,1,0,0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0,3,11,"R$ 479,00","R$ 493,00",,,
"R$ 79.143,00",56,2846,0,1,0,0,0,0,0,0,1,0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,3,11,"R$ 1.629,00","R$ 1.661,00",,,
"R$ 35.790,00",43,2702,0,0,1,0,0,0,0,1,0,0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 66,00","R$ 69,00",,,
"R$ 82.582,00",43,2181,1,0,0,0,0,0,0,1,0,0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,2,1,0,0,1,0,3,11,"R$ 1.135,00","R$ 1.376,00",,,
"R$ 66.373,00",42,2541,0,1,0,0,0,0,0,1,0,0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0,3,11,"R$ 388,00","R$ 497,00",,,
"R$ 82.384,00",65,2746,0,0,0,1,0,0,0,0,1,0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,1,0,0,1,0,0,3,11,"R$ 1.577,00","R$ 1.767,00",,,
"R$ 70.287,00",54,2612,1,0,0,0,0,0,0,1,0,0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,0,0,0,0,0,0,3,11,"R$ 1.013,00","R$ 1.053,00",,,
"R$ 27.938,00",32,2221,0,0,1,0,0,0,0,1,0,0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,3,11,"R$ 19,00","R$ 24,00",,,
"R$ 55.954,00",52,2277,0,1,0,0,0,0,0,0,0,1,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,3,11,"R$ 432,00","R$ 475,00",,,
"R$ 75.777,00",38,2519,0,0,1,0,0,0,0,0,1,0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,2,0,1,1,0,0,3,11,"R$ 1.278,00","R$ 1.358,00",,,
"R$ 66.653,00",45,2819,0,0,0,1,0,0,0,1,0,0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0,3,11,"R$ 600,00","R$ 606,00",,,
"R$ 61.823,00",68,2655,0,0,1,0,0,0,0,1,0,0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0,3,11,"R$ 546,00","R$ 715,00",,,
"R$ 67.680,00",69,2542,0,0,0,0,1,0,0,0,0,1,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0,3,11,"R$ 594,00","R$ 600,00",,,
"R$ 70.666,00",72,2364,0,0,0,1,0,0,0,1,0,0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,3,11,"R$ 1.016,00","R$ 1.046,00",,,
"R$ 25.721,00",49,2563,0,1,0,0,0,0,0,1,0,0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,0,0,0,0,0,0,3,11,"R$ 4,00","R$ 19,00",,,
"R$ 32.474,00",53,2208,0,0,0,1,0,0,0,1,0,0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11,"R$ 11,00","R$ 11,00",,,
"R$ 88.194,00",41,2261,0,0,1,0,0,1,0,0,0,0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,1,2,1,0,0,1,0,3,11,"R$ 1.198,00","R$ 1.236,00",,,
"R$ 69.096,00",62,2434,0,0,0,1,0,0,0,1,0,0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0,3,11,"R$ 435,00","R$ 544,00",,,
"R$ 74.854,00",50,2606,0,0,0,1,0,0,0,1,0,0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0,3,11,"R$ 1.416,00","R$ 1.489,00",,,
"R$ 66.991,00",66,2815,0,1,0,0,0,0,0,0,1,0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,3,11,"R$ 1.229,00","R$ 1.241,00",,,
"R$ 65.031,00",61,2628,0,1,0,0,0,0,0,1,0,0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0,3,11,"R$ 691,00","R$ 777,00",,,
"R$ 60.631,00",45,2609,0,1,0,0,0,0,0,0,0,1,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,1,0,1,0,0,0,3,11,"R$ 623,00","R$ 642,00",,,
"R$ 28.332,00",68,2219,0,1,0,0,0,0,0,1,0,0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,3,11,"R$ 47,00","R$ 56,00",,,
"R$ 40.246,00",43,2716,1,0,0,0,0,0,0,1,0,0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0,3,11,"R$ 11,00","R$ 12,00",,,
"R$ 75.251,00",48,2830,0,1,0,0,0,0,0,0,1,0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,0,0,0,0,0,0,3,11,"R$ 1.854,00","R$ 1.872,00",,,
"R$ 75.825,00",44,2784,0,0,1,0,0,0,0,1,0,0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,1,1,0,0,0,0,3,11,"R$ 2.107,00","R$ 2.158,00",,,
"R$ 26.326,00",44,2457,0,0,0,1,0,1,0,0,0,0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,0,0,0,0,0,0,3,11,"R$ 0,00","R$ 9,00",,,
"R$ 56.046,00",55,2702,0,0,0,1,0,0,0,1,0,0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,1,1,0,0,0,0,3,11,"R$ 590,00","R$ 641,00",,,
"R$ 29.760,00",35,2828,0,0,1,0,0,0,0,1,0,0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0,3,11,"R$ 131,00","R$ 148,00",,,
"R$ 26.304,00",51,2530,0,1,0,0,0,0,0,1,0,0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11,"R$ 8,00","R$ 12,00",,,
"R$ 23.559,00",47,2520,0,1,0,0,0,1,0,0,0,0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 33,00","R$ 56,00",,,
"R$ 38.620,00",57,2573,0,0,0,1,0,0,0,0,1,0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11,"R$ 140,00","R$ 229,00",,,
"R$ 81.361,00",33,2283,1,0,0,0,0,0,0,1,0,0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,3,11,"R$ 626,00","R$ 702,00",,,
"R$ 29.440,00",60,2481,0,1,0,0,0,0,0,1,0,0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0,3,11,"R$ 50,00","R$ 53,00",,,
"R$ 36.138,00",50,2507,0,1,0,0,0,0,0,0,1,0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,1,0,1,0,0,0,3,11,"R$ 141,00","R$ 146,00",,,
"R$ 50.388,00",63,2191,0,0,1,0,0,0,0,1,0,0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,2,0,1,0,1,0,3,11,"R$ 304,00","R$ 338,00",,,
"R$ 79.593,00",47,2207,0,1,0,0,0,0,0,1,0,0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,1,0,0,3,11,"R$ 1.076,00","R$ 1.221,00",,,
"R$ 54.178,00",53,2318,0,0,0,1,0,0,0,1,0,0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0,3,11,"R$ 180,00","R$ 187,00",,,
"R$ 42.394,00",48,2257,0,0,1,0,0,0,0,0,1,0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 24,00","R$ 28,00",,,
"R$ 23.626,00",50,2195,0,1,0,0,0,0,0,0,0,1,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 43,00","R$ 43,00",,,
"R$ 30.096,00",37,2197,0,1,0,0,0,0,0,1,0,0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0,3,11,"R$ 27,00","R$ 36,00",,,
"R$ 47.916,00",60,2743,0,0,0,0,1,0,0,1,0,0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,0,1,0,1,0,0,0,3,11,"R$ 456,00","R$ 531,00",,,
"R$ 51.813,00",48,2603,1,0,0,0,0,0,0,1,0,0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 59,00","R$ 61,00",,,
"R$ 78.497,00",69,2369,0,1,0,0,0,1,0,0,0,0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,1,0,0,0,1,0,3,11,"R$ 532,00","R$ 755,00",,,
"R$ 50.150,00",37,2533,0,1,0,0,0,0,0,0,0,1,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,3,11,"R$ 388,00","R$ 399,00",,,
"R$ 47.823,00",60,2500,0,0,1,0,0,1,0,0,0,0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 52,00","R$ 62,00",,,
"R$ 34.554,00",61,2250,0,0,1,0,0,0,0,0,0,1,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11,"R$ 45,00","R$ 50,00",,,
"R$ 85.693,00",41,2594,0,0,0,1,0,0,0,1,0,0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0,3,11,"R$ 947,00","R$ 1.058,00",,,
"R$ 65.846,00",75,2567,0,1,0,0,0,0,0,0,0,1,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,3,11,"R$ 958,00","R$ 1.039,00",,,
"R$ 87.195,00",61,2211,0,1,0,0,0,0,0,1,0,0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,0,0,0,0,0,0,3,11,"R$ 1.021,00","R$ 1.059,00",,,
"R$ 24.594,00",41,2360,0,0,0,1,0,0,1,0,0,0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 11,00","R$ 20,00",,,
"R$ 49.096,00",56,2437,0,1,0,0,0,0,0,1,0,0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,0,3,11,"R$ 173,00","R$ 180,00",,,
"R$ 52.413,00",51,2671,0,1,0,0,0,0,0,1,0,0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0,3,11,"R$ 780,00","R$ 845,00",,,
"R$ 38.557,00",42,2716,0,0,1,0,0,0,0,1,0,0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 91,00","R$ 118,00",,,
"R$ 89.058,00",60,2728,0,1,0,0,0,0,0,0,1,0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,3,11,"R$ 764,00","R$ 807,00",,,
"R$ 77.298,00",41,2398,0,0,0,1,0,0,0,1,0,0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0,3,11,"R$ 811,00","R$ 890,00",,,
"R$ 68.126,00",29,2755,0,0,1,0,0,0,0,0,0,1,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,1,0,1,0,0,0,3,11,"R$ 1.648,00","R$ 1.734,00",,,
"R$ 57.288,00",57,2163,0,0,0,1,0,0,0,0,1,0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,1,0,1,0,0,0,3,11,"R$ 488,00","R$ 548,00",,,
"R$ 86.037,00",29,2702,0,0,1,0,0,0,0,1,0,0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,2,0,1,1,0,0,3,11,"R$ 686,00","R$ 708,00",,,
"R$ 43.974,00",40,2723,0,1,0,0,0,0,0,0,0,1,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0,3,11,"R$ 407,00","R$ 479,00",,,
"R$ 50.785,00",58,2451,0,0,1,0,0,0,0,1,0,0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11,"R$ 60,00","R$ 87,00",,,
"R$ 90.765,00",50,2315,0,1,0,0,0,0,0,1,0,0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,2,0,0,1,1,0,3,11,"R$ 1.658,00","R$ 1.691,00",,,
"R$ 36.550,00",42,2654,0,1,0,0,0,1,0,0,0,0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0,3,11,"R$ 337,00","R$ 457,00",,,
"R$ 30.753,00",53,2512,0,0,0,1,0,1,0,0,0,0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11,"R$ 21,00","R$ 51,00",,,
"R$ 21.918,00",51,2386,0,0,0,1,0,0,0,1,0,0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11,"R$ 27,00","R$ 30,00",,,
"R$ 56.129,00",67,2533,0,0,0,1,0,0,0,0,1,0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0,3,11,"R$ 564,00","R$ 612,00",,,
"R$ 32.557,00",53,2284,0,0,1,0,0,0,0,0,1,0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,0,0,0,0,0,0,3,11,"R$ 60,00","R$ 70,00",,,
"R$ 19.510,00",35,2457,0,1,0,0,0,0,0,0,1,0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 16,00","R$ 23,00",,,
"R$ 30.992,00",44,2592,1,0,0,0,0,0,0,1,0,0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11,"R$ 39,00","R$ 41,00",,,
"R$ 101.970,00",37,2633,0,0,1,0,0,0,0,1,0,0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,3,0,1,1,1,0,3,11,"R$ 799,00","R$ 967,00",,,
"R$ 71.488,00",55,2655,0,0,0,1,0,1,0,0,0,0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,3,11,"R$ 215,00","R$ 387,00",,,
"R$ 79.607,00",36,2593,0,0,1,0,0,0,0,1,0,0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,0,0,0,0,0,0,3,11,"R$ 1.491,00","R$ 1.707,00",,,
"R$ 54.348,00",67,2180,0,1,0,0,0,0,0,0,1,0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11,"R$ 82,00","R$ 86,00",,,
"R$ 77.376,00",64,2209,0,0,0,1,0,0,0,0,0,1,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0,3,11,"R$ 637,00","R$ 649,00",,,
"R$ 62.998,00",68,2431,0,1,0,0,0,0,0,1,0,0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0,3,11,"R$ 347,00","R$ 405,00",,,
"R$ 61.331,00",62,2635,0,0,1,0,0,0,0,0,1,0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0,3,11,"R$ 550,00","R$ 591,00",,,
"R$ 73.448,00",51,2298,0,1,0,0,0,0,0,1,0,0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,3,11,"R$ 465,00","R$ 595,00",,,
"R$ 41.551,00",56,2478,0,1,0,0,0,0,0,0,0,1,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0,3,11,"R$ 233,00","R$ 256,00",,,
"R$ 62.981,00",53,2628,0,0,0,1,0,0,0,0,0,1,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,1,0,1,0,0,0,3,11,"R$ 1.482,00","R$ 1.482,00",,,
"R$ 9.548,00",44,2849,1,0,0,0,0,0,1,0,0,0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0,3,11,"R$ 11,00","R$ 20,00",,,
"R$ 33.762,00",61,2516,0,1,0,0,0,0,0,0,0,1,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0,3,11,"R$ 74,00","R$ 90,00",,,
